user@vishal-virtualbox:~/Desktop/Mod1$ ps
    PID TTY          TIME CMD
   4492 pts/3    00:00:00 bash
   4553 pts/3    00:00:00 ps
user@vishal-virtualbox:~/Desktop/Mod1$ ps -ef
UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Jan27 ?        00:00:02 /sbin/init splash
root           2       0  0 Jan27 ?        00:00:00 [kthreadd]
root           3       2  0 Jan27 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 Jan27 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 Jan27 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 Jan27 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 Jan27 ?        00:00:00 [kworker/R-netns]
root          10       2  0 Jan27 ?        00:00:00 [kworker/0:0H-events_highpri
root          11       2  0 Jan27 ?        00:00:00 [kworker/u4:0-ext4-rsv-conve
root          12       2  0 Jan27 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 Jan27 ?        00:00:00 [rcu_tasks_kthread]
root          14       2  0 Jan27 ?        00:00:00 [rcu_tasks_rude_kthread]
root          15       2  0 Jan27 ?        00:00:00 [rcu_tasks_trace_kthread]
root          16       2  0 Jan27 ?        00:00:00 [ksoftirqd/0]
root          17       2  0 Jan27 ?        00:00:02 [rcu_preempt]
root          18       2  0 Jan27 ?        00:00:00 [migration/0]
root          19       2  0 Jan27 ?        00:00:00 [idle_inject/0]
root          20       2  0 Jan27 ?        00:00:00 [cpuhp/0]
root          21       2  0 Jan27 ?        00:00:00 [cpuhp/1]
root          22       2  0 Jan27 ?        00:00:00 [idle_inject/1]
root          23       2  0 Jan27 ?        00:00:00 [migration/1]
root          24       2  0 Jan27 ?        00:00:01 [ksoftirqd/1]
root          26       2  0 Jan27 ?        00:00:00 [kworker/1:0H-kblockd]
root          29       2  0 Jan27 ?        00:00:00 [kdevtmpfs]
root          30       2  0 Jan27 ?        00:00:00 [kworker/R-inet_]
root          31       2  0 Jan27 ?        00:00:00 [kworker/u5:1-events_power_e
root          32       2  0 Jan27 ?        00:00:00 [kauditd]
root          33       2  0 Jan27 ?        00:00:00 [khungtaskd]
root          34       2  0 Jan27 ?        00:00:00 [oom_reaper]
root          36       2  0 Jan27 ?        00:00:00 [kworker/R-write]
root          37       2  0 Jan27 ?        00:00:00 [kcompactd0]
root          38       2  0 Jan27 ?        00:00:00 [ksmd]
root          39       2  0 Jan27 ?        00:00:00 [khugepaged]
root          40       2  0 Jan27 ?        00:00:00 [kworker/R-kinte]
root          41       2  0 Jan27 ?        00:00:00 [kworker/R-kbloc]
root          42       2  0 Jan27 ?        00:00:00 [kworker/R-blkcg]
root          43       2  0 Jan27 ?        00:00:00 [irq/9-acpi]
root          45       2  0 Jan27 ?        00:00:00 [kworker/R-tpm_d]
root          46       2  0 Jan27 ?        00:00:00 [kworker/R-ata_s]
root          47       2  0 Jan27 ?        00:00:00 [kworker/R-md]
root          48       2  0 Jan27 ?        00:00:00 [kworker/R-md_bi]
root          49       2  0 Jan27 ?        00:00:00 [kworker/R-edac-]
root          50       2  0 Jan27 ?        00:00:00 [kworker/R-devfr]
root          51       2  0 Jan27 ?        00:00:00 [watchdogd]
root          52       2  0 Jan27 ?        00:00:00 [kworker/0:1H-kblockd]
root          53       2  0 Jan27 ?        00:00:00 [kswapd0]
root          54       2  0 Jan27 ?        00:00:00 [ecryptfs-kthread]
root          55       2  0 Jan27 ?        00:00:00 [kworker/R-kthro]
root          56       2  0 Jan27 ?        00:00:00 [kworker/R-acpi_]
root          58       2  0 Jan27 ?        00:00:00 [scsi_eh_0]
root          59       2  0 Jan27 ?        00:00:00 [kworker/R-scsi_]
root          60       2  0 Jan27 ?        00:00:00 [scsi_eh_1]
root          61       2  0 Jan27 ?        00:00:00 [kworker/R-scsi_]
root          65       2  0 Jan27 ?        00:00:00 [kworker/R-mld]
root          67       2  0 Jan27 ?        00:00:00 [kworker/R-ipv6_]
root          76       2  0 Jan27 ?        00:00:00 [kworker/R-kstrp]
root          78       2  0 Jan27 ?        00:00:00 [kworker/u7:0]
root          79       2  0 Jan27 ?        00:00:00 [kworker/u8:0-ttm]
root          80       2  0 Jan27 ?        00:00:00 [kworker/u9:0-ttm]
root          93       2  0 Jan27 ?        00:00:00 [kworker/R-charg]
root         141       2  0 Jan27 ?        00:00:00 [scsi_eh_2]
root         142       2  0 Jan27 ?        00:00:00 [kworker/R-scsi_]
root         194       2  0 Jan27 ?        00:00:00 [jbd2/sda2-8]
root         195       2  0 Jan27 ?        00:00:00 [kworker/R-ext4-]
root         244       1  0 Jan27 ?        00:00:00 /usr/lib/systemd/systemd-jou
root         292       2  0 Jan27 ?        00:00:00 [irq/18-vmwgfx]
root         293       2  0 Jan27 ?        00:00:00 [kworker/R-ttm]
root         305       2  0 Jan27 ?        00:00:00 [kworker/u4:1-ext4-rsv-conve
root         321       1  0 Jan27 ?        00:00:00 /usr/lib/systemd/systemd-ude
root         327       2  0 Jan27 ?        00:00:01 [kworker/0:4-mm_percpu_wq]
systemd+     378       1  0 Jan27 ?        00:00:01 /usr/lib/systemd/systemd-oom
